permitted-development-right-part,name
1,Development within the curtilage of a dwellinghouse
2,Minor operations
3,Changes of use
4,Temporary buildings and uses
5,Caravan sites and recreational campsites
6,Agricultural and forestry
7,"Non-domestic extensions, alterations etc"
8,Transport related development
9,Development relating to roads
10,Repairs to services
11,Heritage and demolition
12,Development by local authorities
13,Water and sewerage
14,Renewable energy
15,Power related development
16,Communications
17,Mining and mineral exploration
18,Miscellaneous development
19,Development by the Crown or for national security purposes
