prefix,resource,organisation,reference,entity
permitted-development-right,,,1A,11500001
permitted-development-right,,,1B,11500002
permitted-development-right,,,1C,11500003
permitted-development-right,,,1D,11500004
permitted-development-right,,,1E,11500005
permitted-development-right,,,1F,11500006
permitted-development-right,,,1G,11500007
permitted-development-right,,,1H,11500008
permitted-development-right,,,2A,11500009
permitted-development-right,,,2B,11500010
permitted-development-right,,,2C,11500011
permitted-development-right,,,2D,11500012
permitted-development-right,,,2E,11500013
permitted-development-right,,,2F,11500014
permitted-development-right,,,3A,11500015
permitted-development-right,,,3B,11500016
permitted-development-right,,,3C,11500017
permitted-development-right,,,3D,11500018
permitted-development-right,,,3E,11500019
permitted-development-right,,,3F,11500020
permitted-development-right,,,3G,11500021
permitted-development-right,,,3H,11500022
permitted-development-right,,,3I,11500023
permitted-development-right,,,3J,11500024
permitted-development-right,,,3K,11500025
permitted-development-right,,,3L,11500026
permitted-development-right,,,3M,11500027
permitted-development-right,,,3N,11500028
permitted-development-right,,,3O,11500029
permitted-development-right,,,3P,11500030
permitted-development-right,,,3Q,11500031
permitted-development-right,,,3R,11500032
permitted-development-right,,,3S,11500033
permitted-development-right,,,3T,11500034
permitted-development-right,,,3U,11500035
permitted-development-right,,,3V,11500036
permitted-development-right,,,4A,11500037
permitted-development-right,,,4B,11500038
permitted-development-right,,,4C,11500039
permitted-development-right,,,4D,11500040
permitted-development-right,,,4E,11500041
permitted-development-right,,,5A,11500042
permitted-development-right,,,5B,11500043
permitted-development-right,,,5C,11500044
permitted-development-right,,,6A,11500045
permitted-development-right,,,6B,11500046
permitted-development-right,,,6C,11500047
permitted-development-right,,,6E,11500048
permitted-development-right,,,7A,11500049
permitted-development-right,,,7B,11500050
permitted-development-right,,,7C,11500051
permitted-development-right,,,7D,11500052
permitted-development-right,,,7E,11500053
permitted-development-right,,,7F,11500054
permitted-development-right,,,7G,11500055
permitted-development-right,,,7H,11500056
permitted-development-right,,,7I,11500057
permitted-development-right,,,7J,11500058
permitted-development-right,,,7K,11500059
permitted-development-right,,,7L,11500060
permitted-development-right,,,7M,11500061
permitted-development-right,,,7N,11500062
permitted-development-right,,,8A,11500063
permitted-development-right,,,8B,11500064
permitted-development-right,,,8C,11500065
permitted-development-right,,,8D,11500066
permitted-development-right,,,8E,11500067
permitted-development-right,,,8F,11500068
permitted-development-right,,,8G,11500069
permitted-development-right,,,8H,11500070
permitted-development-right,,,8I,11500071
permitted-development-right,,,8J,11500072
permitted-development-right,,,8K,11500073
permitted-development-right,,,8L,11500074
permitted-development-right,,,8M,11500075
permitted-development-right,,,8N,11500076
permitted-development-right,,,9A,11500077
permitted-development-right,,,9B,11500078
permitted-development-right,,,9C,11500079
permitted-development-right,,,9D,11500080
permitted-development-right,,,9E,11500081
permitted-development-right,,,10A,11500082
permitted-development-right,,,11A,11500083
permitted-development-right,,,11B,11500084
permitted-development-right,,,11C,11500085
permitted-development-right,,,12A,11500086
permitted-development-right,,,12B,11500087
permitted-development-right,,,13A,11500088
permitted-development-right,,,13B,11500089
permitted-development-right,,,13C,11500090
permitted-development-right,,,13D,11500091
permitted-development-right,,,14A,11500092
permitted-development-right,,,14B,11500093
permitted-development-right,,,14C,11500094
permitted-development-right,,,14D,11500095
permitted-development-right,,,14E,11500096
permitted-development-right,,,14F,11500097
permitted-development-right,,,14G,11500098
permitted-development-right,,,14H,11500099
permitted-development-right,,,14I,11500100
permitted-development-right,,,14J,11500101
permitted-development-right,,,14K,11500102
permitted-development-right,,,14L,11500103
permitted-development-right,,,14M,11500104
permitted-development-right,,,14N,11500105
permitted-development-right,,,14O,11500106
permitted-development-right,,,15A,11500107
permitted-development-right,,,15B,11500108
permitted-development-right,,,16A,11500109
permitted-development-right,,,16B,11500110
permitted-development-right,,,16C,11500111
permitted-development-right,,,16D,11500112
permitted-development-right,,,16E,11500113
permitted-development-right,,,17A,11500114
permitted-development-right,,,17B,11500115
permitted-development-right,,,17C,11500116
permitted-development-right,,,17D,11500117
permitted-development-right,,,17E,11500118
permitted-development-right,,,17F,11500119
permitted-development-right,,,17G,11500120
permitted-development-right,,,17H,11500121
permitted-development-right,,,17I,11500122
permitted-development-right,,,17J,11500123
permitted-development-right,,,17K,11500124
permitted-development-right,,,17L,11500125
permitted-development-right,,,17M,11500126
permitted-development-right,,,18A,11500127
permitted-development-right,,,18B,11500128
permitted-development-right,,,19A,11500129
permitted-development-right,,,19B,11500130
permitted-development-right,,,19C,11500131
permitted-development-right,,,19D,11500132
permitted-development-right,,,19E,11500133
permitted-development-right,,,19F,11500134
permitted-development-right,,,19G,11500135
permitted-development-right,,,19H,11500136
permitted-development-right,,,19I,11500137
permitted-development-right,,,19J,11500138
permitted-development-right,,,19K,11500139
permitted-development-right,,,19L,11500140
permitted-development-right,,,19M,11500141
permitted-development-right,,,19N,11500142
permitted-development-right,,,19O,11500143
permitted-development-right,,,19P,11500144
permitted-development-right,,,19Q,11500145
permitted-development-right,,,19R,11500146
permitted-development-right,,,19S,11500147
permitted-development-right,,,19T,11500148
permitted-development-right-part,,,1,11400001
permitted-development-right-part,,,2,11400002
permitted-development-right-part,,,3,11400003
permitted-development-right-part,,,4,11400004
permitted-development-right-part,,,5,11400005
permitted-development-right-part,,,6,11400006
permitted-development-right-part,,,7,11400007
permitted-development-right-part,,,8,11400008
permitted-development-right-part,,,9,11400009
permitted-development-right-part,,,10,11400010
permitted-development-right-part,,,11,11400011
permitted-development-right-part,,,12,11400012
permitted-development-right-part,,,13,11400013
permitted-development-right-part,,,14,11400014
permitted-development-right-part,,,15,11400015
permitted-development-right-part,,,16,11400016
permitted-development-right-part,,,17,11400017
permitted-development-right-part,,,18,11400018
permitted-development-right-part,,,19,11400019
